property_id,online_booking,photo_count,image_urls_webp,image_urls_jpg,main_image,main_image_alt,multimedia_types,has_plan,has_virtual_tour,has_video,has_home_staging,has_map,agency_name,agency_url,agency_logo,title,property_url,price,old_price,discount_percentage,has_discount,bedrooms,surface_m2,floor_info,description,property_tags
108844324,false,103,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/1f/ac/1356773310.webp,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/1f/ac/1356773310.jpg,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/1f/ac/1356773310.jpg,First photo of the property,PLAN|VIDEO|VIRTUAL_TOUR_360|MAP|HOME_STAGING,True,True,True,True,True,MI CASA EN LA PALMA Inmobiliaria,/en/pro/mi-casa-en-la-palma/,https://st3.idealista.com/f2/3a/ff/mi-casa-en-la-palma.gif,"Detached house in Calle San Sebastián, San Andrés y Sauces",/en/inmueble/108844324/,690000,,,False,2,118,,"Discover with MI CASA EN LA PALMA: Modern and elegant dream house by the sea, with stunning ocean views and a charming subtropical garden in a spectacular location, on the edge of the cliffs of the picturesque village of San Andrés, just 60 meters above sea level.
Your own oasis facing the Atlantic
Privileged locatio",Sea views
104565897,false,79,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/2e/68/1224586527.webp,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/2e/68/1224586527.jpg,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/2e/68/1224586527.jpg,First photo of the property,VIRTUAL_TOUR_360|MAP|VIDEO,False,True,True,False,True,Wellmann Immobilien,/en/pro/wellmann-immobilien/,https://st3.idealista.com/3a/9a/db/wellmann-immobilien.gif,Detached house in El Paso,/en/inmueble/104565897/,829000,,,False,4,279,,"This magnificent property is located in one of the most exclusive areas of the Aridane Valley, Los Pedregales, exactly in the area known as Lomo Torres. With an unbeatable location there are about 17 properties of similar construction style that make up the urbanization of easy and practical access.
The location at an",Sea views
103460300,false,80,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/64/f5/1190219129.webp,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/64/f5/1190219129.jpg,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/64/f5/1190219129.jpg,First photo of the property,PLAN|VIDEO|VIRTUAL_TOUR_360|MAP|HOME_STAGING,True,True,True,True,True,MI CASA EN LA PALMA Inmobiliaria,/en/pro/mi-casa-en-la-palma/,https://st3.idealista.com/f2/3a/ff/mi-casa-en-la-palma.gif,"Terraced house in Callejón de Reyes, Santa Cruz de la Palma",/en/inmueble/103460300/,515000,,,False,20,970,,"MY HOUSE IN LA PALMA presents: Historic property to renovate!
Large building complex with four independent entrances that dates back to 1920 in the historic center of Santa Cruz de La Palma, on the corner of Callejon de Reyes with San Jose, about 30 meters above sea level
Semi-basement (111.85 m²)
Entrance hall: 1
Liv",
104858138,false,48,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/0c/c8/1233782984.webp,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/0c/c8/1233782984.jpg,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/0c/c8/1233782984.jpg,First photo of the property,PLAN|VIDEO|VIRTUAL_TOUR_360|MAP|HOME_STAGING,True,True,True,True,True,MI CASA EN LA PALMA Inmobiliaria,/en/pro/mi-casa-en-la-palma/,https://st3.idealista.com/f2/3a/ff/mi-casa-en-la-palma.gif,"Detached house in Calle el Tributo, Puntallana",/en/inmueble/104858138/,224000,,,False,2,74,,"MI CASA EN LA PALMA invites you to:
Cozy typical Canarian rural house with sea views and rustic cave on a plot of almost 2000 m², where another house could also be built, in an idyllic rural residential area in Santa Lucía, just 373 m above sea level.
Total land area 1997 m², composed of two plots:
Plot 1: rural hou",
108423936,false,43,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/c1/fa/1344467142.webp,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/c1/fa/1344467142.jpg,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/c1/fa/1344467142.jpg,First photo of the property,PLAN|VIDEO|VIRTUAL_TOUR_360|MAP|HOME_STAGING,True,True,True,True,True,MI CASA EN LA PALMA Inmobiliaria,/en/pro/mi-casa-en-la-palma/,https://st3.idealista.com/f2/3a/ff/mi-casa-en-la-palma.gif,"Detached house in CL Pintor Francisco Concepci, Santa Cruz de la Palma",/en/inmueble/108423936/,290000,,,False,4,206,,"MI CASA EN LA PALMA presents:
Detached 2-story house with a large commercial space on the ground floor and a large roof terrace with barbecue and sea views, in the historic center of Santa Cruz de La Palma, in San Telmo, 56 m above sea level.
In the heart of the old town of Santa Cruz de La Palma, in San Telmo, a few",Sea views
109610687,false,51,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/be/44/1380058778.webp,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/be/44/1380058778.jpg,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/be/44/1380058778.jpg,First photo of the property,PLAN|VIDEO|VIRTUAL_TOUR_360|MAP|HOME_STAGING,True,True,True,True,True,MI CASA EN LA PALMA Inmobiliaria,/en/pro/mi-casa-en-la-palma/,https://st3.idealista.com/f2/3a/ff/mi-casa-en-la-palma.gif,"Detached house in Lugar Lomo Oscuro, Villa de Mazo",/en/inmueble/109610687/,249000,,,False,2,199,,"Opportunity with MI CASA EN LA PALMA: Canarian country house with large panoramic conservatory and spectacular 180-degree view of the Atlantic Ocean and the three neighbouring islands, including convertible outbuildings with barbecue, wine cellar and a large terraced garden in Lomo Oscuro, approx. 400 m.a.s.l.
Where s",Sea views
109476293,false,78,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/7f/7c/1375814730.webp,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/7f/7c/1375814730.jpg,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/7f/7c/1375814730.jpg,First photo of the property,VIRTUAL_TOUR_360|PLAN|MAP|VIDEO,True,True,True,False,True,MI CASA EN LA PALMA Inmobiliaria,/en/pro/mi-casa-en-la-palma/,https://st3.idealista.com/f2/3a/ff/mi-casa-en-la-palma.gif,"Detached house in Lugar Lomo Oscuro, Villa de Mazo",/en/inmueble/109476293/,490000,,,False,2,190,,"Discover with MI CASA EN LA PALMA:
Unique property with a very well-maintained country house, large pool, old outbuildings, garage, and greenhouse in a subtropical garden with many fruit trees and spectacular sea views, in a sunny, secluded location in Lomo Oscuro, about 500 meters above sea level.
The very well-main",Sea views
109026709,false,62,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/87/c7/ca/1362068497.webp,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/87/c7/ca/1362068497.jpg,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/87/c7/ca/1362068497.jpg,First photo of the property,VIRTUAL_TOUR_360|PLAN|MAP|VIDEO,True,True,True,False,True,MI CASA EN LA PALMA Inmobiliaria,/en/pro/mi-casa-en-la-palma/,https://st3.idealista.com/f2/3a/ff/mi-casa-en-la-palma.gif,"Detached house in Camino el Linar, Villa de Mazo",/en/inmueble/109026709/,420000,,,False,2,165,,"A rarity in La Palma: everything on one level!
MI CASA EN LA PALMA presents:
Newly renovated Canarian natural stone house with a modern style, winter garden, sea view, barbecue area and large garden, in El Pino / Villa de Mazo, in a location with an unbeatable climate, just 345 m above sea level.
Between the sea and",Stone house
106047656,false,48,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/3c/f0/1270933964.webp,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/3c/f0/1270933964.jpg,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/3c/f0/1270933964.jpg,First photo of the property,VIRTUAL_TOUR_360|PLAN|MAP|VIDEO,True,True,True,False,True,MI CASA EN LA PALMA Inmobiliaria,/en/pro/mi-casa-en-la-palma/,https://st3.idealista.com/f2/3a/ff/mi-casa-en-la-palma.gif,"Detached house in Calle Montecristo, Santa Cruz de la Palma",/en/inmueble/106047656/,380000,,,False,3,199,,"Take advantage of the opportunity with MI CASA EN LA PALMA:
Beautiful three-story house in the old town, ready to move into, with two independently accessible apartments in traditional Canarian style, with a patio and tea floors, as well as commercial premises to be renovated on the ground floor, located in the histori",
100099468,false,50,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/cd/44/1069023871.webp,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/cd/44/1069023871.jpg,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/cd/44/1069023871.jpg,First photo of the property,VIRTUAL_TOUR_360|PLAN|MAP|VIDEO,True,True,True,False,True,MI CASA EN LA PALMA Inmobiliaria,/en/pro/mi-casa-en-la-palma/,https://st3.idealista.com/f2/3a/ff/mi-casa-en-la-palma.gif,"Detached house in La Lomadita, Puntallana",/en/inmueble/100099468/,899000,,,False,11,554,,"Are you looking for a solid investment in La Palma? Take advantage of this opportunity with MI CASA EN LA PALMA:
Beautiful apartment complex with subtropical garden, large indoor pool and barbecue area for parties, in a dream location in Tenagua / Puntallana, with fantastic panoramic views of the Atlantic Ocean and San",
